"taxon","stage","n","a","b","R2"
"Arthropoda","all",488,0.034,2.191,0.773
"Insecta","all",462,0.035,2.173,0.762
"Crustacea","all",26,0.0138,2.669,0.918
"Isopoda","all",16,0.0152,2.77,0.974
"Amphipoda","all",10,0.0088,2.682,0.989
"Arachnida","all",46,0.0562,2.332,0.895
"Araneae","all",30,0.0332,2.924,0.929
"Tetragnathidae","all",13,0.0372,2.406,0.929
"Blattodea","all",18,0.0313,2.358,0.955
"Hymenoptera","adult",22,0.0139,2.383,0.918
"Orthoptera","all",20,0.018,2.72,0.919
"Psocoptera","all",18,0.0136,3.115,0.786
"Coleoptera","all",130,0.0336,2.347,0.771
"Coleoptera","adult",123,0.0339,2.384,0.801
"Carabidae","adult",16,0.0168,2.752,0.969
"Scolytidae","adult",13,0.0313,2.531,0.736
"Ciidae","adult",13,0.0313,2.531,0.736
"Coccinellidae","adult",12,0.0724,2.665,0.651
"Nitidulidae","adult",22,0.0679,1.308,0.384
"Elateridae","adult",17,0.0138,2.595,0.959
"Staphylinidae","adult",17,0.0138,2.595,0.959
"Silvanidae","adult",17,0.0138,2.595,0.959
"Curculionidae","adult",43,0.031,2.641,0.887
"Anobiidae","adult",43,0.031,2.641,0.887
"Aglycyderidae","adult",43,0.031,2.641,0.887
"Proterhinus","adult",19,0.0183,3.144,0.974
"Heteroptera","all",55,0.0411,1.934,0.823
"Lygaeidae","all",17,0.0375,2.065,0.861
"Miridae","all",20,0.032,2.318,0.762
"Nabis","all",18,0.0071,2.764,0.935
"Nesiomiris","all",18,0.0071,2.764,0.935
"Homoptera","all",92,0.0234,2.536,0.846
"Homoptera","adult",64,0.0155,2.835,0.905
"Homoptera","immature",28,0.0585,1.67,0.627
"Nesophrosyne","all",16,0.0067,3.141,0.884
"Psyllidae","all",19,0.0175,2.629,0.839
"Aphididae","all",19,0.0175,2.629,0.839
"Psyllidae","adult",14,0.0123,2.995,0.752
"Fulgoroidea","all",73,0.0323,2.338,0.787
"Siphanta acuta","all",18,0.0088,3.182,0.875
"Cixiidae","all",38,0.0511,2.072,0.809
"Delphacidae","all",38,0.0511,2.072,0.809
"Lepidoptera","adult",9,0.0179,2.318,0.922
"Lepidoptera","immature",14,0.0271,1.769,0.683
"Diptera","adult",19,0.0153,2.573,0.85
"Collembola","all",9,0.0056,2.809,0.924
"Neuroptera","adult",8,0.007,2.739,0.911
"Coleoptera","immature",23,0.029,1.73,0.848
"Diptera","immature",23,0.029,1.73,0.848
"Hymenoptera","immature",23,0.029,1.73,0.848
"Neuroptera","immature",23,0.029,1.73,0.848
